"Name","Department","Would Take Again","Level of Difficulty","Total Ratings","Overall Quality","College"
"Qin,  ","Physics & Astronomy","N/A","4.0","2","2.8","UNC"
"Williamson, Joel ","History","N/A","2.0","3","5.0","UNC"
"Brown, Elizabeth Barnsley ","English","N/A","4.0","2","2.5","UNC"
"Rowan, Lawrence ","Physics","N/A","3.3","12","3.5","UNC"
"Branyon, Rick ","English","N/A","4.3","14","2.0","UNC"
"Harris, Trudier ","English","N/A","3.0","7","4.9","UNC"
"Pardo, Mary ","Fine Arts","N/A","3.1","27","2.8","UNC"
"Bartek, Carrie ","Social Science","N/A","2.5","6","4.3","UNC"
"Kasson, John ","History","N/A","3.1","10","3.5","UNC"
"Cantwell, Robert ","History","N/A","2.3","8","4.3","UNC"
"Plante, Joseph ","Mathematics","N/A","3.6","10","3.8","UNC"
"Schwartz, Brad ","Economics","N/A","3.4","17","2.9","UNC"
"Sheriff, Mary ","Fine Arts","N/A","3.2","9","4.8","UNC"
"Kaufman, Peter ","Theology","N/A","2.6","17","4.6","UNC"
"Silva, John ","Sports Science","N/A","3.7","11","4.6","UNC"
"Desaix, Jean ","Science","","4.0","106","2.6","UNC"
"Johnson, Norris ","Anthropology","N/A","2.0","34","3.4","UNC"
"Lotchin, Roger ","History","N/A","2.9","11","3.0","UNC"
"Oatley, Thomas ","Political Science","N/A","3.2","39","4.1","UNC"
"Curran, Patrick ","Psychology","N/A","2.9","7","4.4","UNC"
"Penn, David ","Psychology","","2.3","41","4.3","UNC"
"Vogler, Frederick ","Languages","N/A","1.5","12","4.6","UNC"
"Filene, Peter ","History","N/A","2.7","12","4.0","UNC"
"Escobar, Arturo ","Anthropology","N/A","2.4","5","3.6","UNC"
"Sanna, Lawrence ","Psychology","N/A","2.8","16","5.0","UNC"
"Rosenberg, Jay ","Philosophy","N/A","4.3","4","2.3","UNC"
"Crumley, Carole ","Anthropology","N/A","2.6","11","3.4","UNC"
"Stewart, John ","Economics","N/A","3.3","13","2.5","UNC"
"McMahan, R.K. ","Science","N/A","3.4","15","3.9","UNC"
"Houston, George ","Classics","N/A","2.5","8","5.0","UNC"
"Conover, Pamela ","Political Science","","3.4","96","3.0","UNC"
"Reeve, David ","Philosophy","N/A","3.2","6","3.5","UNC"
"Junkin, Gwynne ","Languages","N/A","3.5","2","4.8","UNC"
"Stockton, Elizabeth ","English","N/A","2.8","5","4.3","UNC"
"Toews, Arrel ","Biochemistry","N/A","4.0","20","4.8","UNC"
"Haig, Stirling ","Languages","N/A","3.3","3","4.5","UNC"
"Caldwell, Melissa ","English","N/A","3.7","9","2.5","UNC"
"Jackson, Jerma ","History","N/A","3.5","31","2.5","UNC"
"Wiesenthal, Naomi ","Psychology","N/A","3.7","10","4.7","UNC"
"Ferguson, Paul ","Communication","N/A","2.5","13","3.7","UNC"
"Brookhart, Maurice ","Science","N/A","3.8","6","4.2","UNC"
"Hutchinson, Dale ","Anthropology","","3.0","32","3.5","UNC"
"Haggis, Donald ","Classics","","2.8","46","2.9","UNC"
"Wiener, Margaret ","Anthropology","N/A","3.4","9","2.5","UNC"
"Goldberg, Larry ","English","N/A","3.8","21","4.8","UNC"
"Osborne, Barbara ","Physical Ed","N/A","1.3","4","4.9","UNC"
"Bunting, John ","Physical Ed","N/A","2.1","7","2.5","UNC"
